set_num,set_name,year,theme_id,num_parts,total_part_count,unique_part_count,minifig_count,spare_part_ratio,h_cat,h_col,n_distinct_colors,n_distinct_categories,prop_technic,prop_printed,prop_transparent,rare_part_ratio,minifig_to_part_ratio,has_minifigs,year_window,window_index
30293-1,Kai Drifter,2015,435,43,38.0,21.0,1.0,0.09523809523809523,2.20892739230558,1.7673779345300193,7.0,11.0,0.0,0.0,0.15789473684210525,0.0,0.02631578947368421,1.0,2015,32
30294-1,The Cowler Dragon,2015,435,45,40.0,20.0,1.0,0.1111111111111111,2.2829096266344395,1.4962933318414209,7.0,11.0,0.0,0.0,0.0,0.0,0.025,1.0,2015,32
30300-1,The Batman Tumbler,2014,697,57,57.0,28.0,0.0,0.05,2.106428787955495,1.2939648352481021,6.0,12.0,0.05263157894736842,0.0,0.03508771929824561,0.0,0.0,0.0,2014,31
3030-1,25th Anniversary Silver Tub,1998,505,145,145.0,16.0,0.0,0.0,-0.0,1.4138411489319314,5.0,1.0,0.0,0.034482758620689655,0.0,0.020689655172413793,0.0,0.0,1998,15
30301-1,Batwing,2014,697,45,45.0,27.0,0.0,0.0425531914893617,1.9873339169583404,1.6146756031520504,9.0,10.0,0.06666666666666667,0.0,0.17777777777777778,0.0,0.0,0.0,2014,31
30302-1,Spider-Man Glider,2014,706,45,42.0,26.0,1.0,0.0,2.3656437263714687,1.8685094411049685,8.0,14.0,0.047619047619047616,0.0,0.023809523809523808,0.0,0.023809523809523808,1.0,2014,31
30303-1,The Joker Bumper Car,2015,697,47,43.0,20.0,1.0,0.022727272727272728,2.2260355785758636,1.9528789111528724,9.0,11.0,0.0,0.023255813953488372,0.09302325581395349,0.023255813953488372,0.023255813953488372,1.0,2015,32
30304-1,The Avengers Quinjet,2015,702,56,56.0,31.0,0.0,0.034482758620689655,2.3113266741824043,1.8658704865471845,7.0,14.0,0.03571428571428571,0.0,0.125,0.0,0.0,0.0,2015,32
30305-1,Spider-Man Super Jumper,2015,706,38,35.0,19.0,1.0,0.07894736842105263,2.028891291642692,2.0665219457020614,10.0,10.0,0.05714285714285714,0.0,0.14285714285714285,0.0,0.02857142857142857,1.0,2015,32
303-1,Basic Building Set,1987,467,33,33.0,6.0,0.0,0.0,-0.0,1.2997965900093296,4.0,1.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,1986-1987,7
